作品名称,简介
《子虚赋》,《子虚赋》是汉代辞赋家司马相如早期游梁时所作，有着浓厚的黄老道家色彩。《子虚赋》作于司马相如为梁孝王宾客时，时在汉景帝年间，其主题是以这一时期以虚静为君的道家思想为指向的，但是景帝不好辞赋并没有得到景帝的赏识。却为后来的汉武帝所赏识。此赋写楚国之子虚先生出使齐国，子虚向乌有先生讲述随齐王出猎，齐王问及楚国，极力铺排楚国之广大丰饶，以至云梦不过是其后花园之小小一角。乌有不服，便以齐国之大海名山、异方殊类，傲视子虚。其主要意义是通过这种夸张声势的描写，表现了汉一代王朝的强大声势和雄伟气魄。此赋极铺张扬厉之能事，词藻丰富，描写工丽，散韵相间，标志着汉大赋的完全成熟。它与《上林赋》构成姊妹篇，都是汉代汉族文学正式确立的标志性作品。
《上林赋》,《上林赋》是西汉辞赋家司马相如创作的一篇赋，是《子虚赋》的姊妹篇。此赋先写子虚、乌有二人之论不确来引出天子上林之事，再依次夸饰天子上林苑中的水势、水产、草木、走兽、台观、树木、猿类之胜，然后写天子猎余庆功，最后写天子悔过反思。全赋规模宏大，辞汇丰富，描绘尽致，渲染淋漓。
《大人赋》,《大人赋》是西汉辞赋家司马相如创作的一篇赋。此赋先写“大人”驾云乘龙遨游仙界，然后分东南西北四方写遨游盛况，文末归于超脱有无，暗含对汉武帝好神仙之道的讽谏，同时流露了作者对于自己仕途进退的矛盾之情。全赋想象丰富，文字糜丽，蕴含着丰富的道家思想。
《长门赋》,《长门赋》最早见于南朝梁萧统编著的《昭明文选》，据其序言，这是汉代文学家司马相如受汉武帝失宠皇后陈阿娇的百金重托而作的一篇骚体赋。作品以一个受到冷遇的嫔妃口吻写成：君主许诺朝往而暮来，可是天色将晚，还不见幸临。她独自徘徊，对爱的期盼与失落充满心中。她登上兰台遥望其行踪，唯见浮云四塞，天日窈冥。雷声震响，她以为是君主的车辇，却只见风卷帷幄。此赋以景写情，情景交融，表现陈皇后被遗弃后苦闷和抑郁的心情，艺术表现上反复重叠，表达女性感情极其细腻，是一篇优秀的骚体赋。
《美人赋》,《美人赋》是西汉辞赋家司马相如创作的一篇赋。此赋开头假设自己受诽谤，引出下文自己不好色，而且用古代圣贤作衬托，重点写赴梁途中的艳遇，再次突出自己不好色，从而表现作者坚守高洁品格的思想。全赋语言清丽华妙，调动多种感官来完成对美女的铺写，在艺术手法上颇有独到之处。
《白头吟》,"《白头吟》是汉代才女卓文君的作品。据传，司马相如发迹后，渐渐耽于逸乐、日日周旋在脂粉堆里，直至欲纳茂陵女子为妾。卓文君忍无可忍，因之作了这首《白头吟》，呈递相如。这首诗寄寓了作者对于爱情的高尚态度。虽然她对旧情不无留念和幻想,但更多的却是深沉的人生反思。因此,她较之古诗中一般的弃妇形象又迥然不同。"
《怨郎诗》,相传，司马相如在事业上取得少许成就之后，就产生了纳妾之意，寄了一封十三个字的信送给妻子，卓文君倍感伤怀，便回以这封著名的《怨郎诗》。
《诀别书》,传说《白头吟》是卓文君所作，司马相如飞黄腾达后，渐渐耽于逸乐、日日周旋在脂粉堆里，直至欲纳茂陵女子为妾。在锦衣玉食之时弃糟糠而慕少艾时，卓文君作了一首《白头吟》，并附书：“春华竞芳，五色凌素，琴尚在御，而新声代故！锦水有鸳，汉宫有木，彼物而新，嗟世之人兮，瞀于淫而不悟！朱弦断，明镜缺，朝露晞，芳时歇，白头吟，伤离别，努力加餐勿念妾，锦水汤汤，与君长诀！”使得司马相如大为不忍，想到了当年的患难相随，将卓文君接到自己身边。
《太玄》,《太玄经》，西汉末年扬雄撰，也称《扬子太玄经》，简称《太玄》、《玄经》。
《法言》,史称《法言》为扬雄模仿《论语》而作，至于取名《法言》，则本于《论语·子罕篇》： 法语之言，能无从乎 和《孝经·卿大夫章》： 非先王之法言不敢道。 法 有准则和使物平直的意思，所以法言就是作为准则而对事情的是非给以评判之言。
《方言》,《〈方言〉与两汉语言研究丛书》为教育部哲学社会科学研究后期资助重大项目，同时是高等学校优秀博士学位论文作者专项基金项目。 这套丛书包含八种专著，可以划分为两个子系列，即“《方言》研究系列”和“与《方言》相关的汉语史研究系列”。前者包含四部著作：《扬雄校释论稿》、《扬雄用字研究》、《与扬雄词汇学》和《两汉方言词研究》。后者也包含有四部著作：《秦汉时期楚方言区文献的语音研究》、《词汇研究》、《词类研究》和《两汉语法比较研究》。 这套丛书主要特点有三个：一是重视突破，尤其重视难点的突破，二是重视材料，尤其重视第一手材料，三是重视方法，尤其重视方法的针对性。然而最主要的特点则是，各部著作分则都可独立，合则浑然一体。 本书，王智群博士的《与扬雄词汇学》，围绕着“扬雄撰写《方言》有没有理论，他的理论都有哪些具体内容，在《方言》一书中是如何体现的”这一核心问题展开研究。她贯通了《方言》全书的条例，并以此为基础展开研究。发现了扬雄以“聚合”方式组织词汇的特点，揭示了扬雄“别国方言”、“古今语”和“转语”的深刻内涵，提出了扬雄文化词汇学思想这一命题。
《汉书》,《汉书》，又称《前汉书》，是中国第一部纪传体断代史，“二十四史”之一。由东汉史学家班固编撰，前后历时二十余年，于建初年中基本修成，后唐朝颜师古为之释注。《汉书》是继《史记》之后中国古代又一部重要史书，与《史记》、《后汉书》、《三国志》并称为“前四史”。 《汉书》全书主要记述了上起西汉的汉高祖元年，下至新朝王莽地皇四年共230年的史事。《汉书》包括本纪十二篇，表八篇，志十篇，传七十篇，共一百篇，后人划分为一百二十卷，全书共八十万字。
《白虎通义》,《白虎通义》是中国汉代讲论五经同异，统一今文经义的一部重要著作。班固等人根据汉章帝建初四年经学辩论的结果撰集而成。因辩论地点在白虎观而得名。《白虎通义》继承了董仲舒以后今文经学神秘的唯心主义思想。它以神秘化了的阴阳、五行为基础，解释自然、社会、伦理、人生和日常生活的种种现象，对宋明理学的人性论产生了一定影响。
《两都赋》,《两都赋》是东汉文学家、史学家班固创作的大赋，分《西都赋》《东都赋》两篇。据其自序，自东汉建都洛阳后，“西土耆老”希望仍以长安为首都，因作此赋以驳之。《西都赋》由假想人物西都宾叙述长安形势险要、物产富庶、宫廷华丽等情况，以暗示建都长安的优越性；《东都赋》则由另一假想人物东都主人对东汉建都洛阳后的各种政治措施进行美化和歌颂，意谓洛阳当日的盛况，已远远超过了西汉首都长安。后来张衡《二京赋》、左思《三都赋》，在形式上皆颇受其影响。
《灵宪》,《灵宪》是张衡积多年的实践与理论研究写成的一部天文巨著，也是世界天文史上的不朽名作。该书全面阐述了天地的生成、宇宙的演化、天地的结构、日月星辰的本质及其运动等诸多重大课题，将我国古代的天文学水平提升到了一个前所未有的新阶段，使我国当时的天文学研究居世界领先水平，并对后世产生了深远的影响。
《归田赋》,《归田赋》是东汉辞赋家张衡的代表作之一。它形象地描绘了田园山林那种和谐欢快、神和气清的景色，反映了作者畅游山林，悠闲自得的心情，又颇含自戒之意，表达了作者道家思想的超脱精神。《归田赋》文句平淡清丽、结构短小灵活，开了骈赋的先河，是千百年来为人们所传诵的优秀篇章。是一篇短小明畅的抒情小赋，有着独特的艺术风格，它一洗汉大赋铺采缛文、繁重凝滞、虚夸堆砌的规矩，转为文句平淡清丽、结构短小灵活的风格，语言自然清新，洗练优美，感情真挚，情景交融，是难得的赋作佳篇。
《二京赋》,《二京赋》是东汉辞赋，为张衡的代表作。《二京赋》包括《西京赋》、《东京赋》两篇。二京，指汉的西京长安与东京洛阳。《二京赋》由于其结构的严谨精密，被多数人认为是汉赋中的精品。
《观沧海》,《观沧海》是东汉末年诗人曹操创作的一首四言诗。这首诗是曹操在碣石山登山望海时，用饱蘸浪漫主义激情的大笔，所勾勒出的大海吞吐日月、包蕴万千的壮丽景象；描绘了祖国河山的雄伟壮丽，既刻画了高山大海的壮阔，更表达了诗人以景托志，胸怀天下的进取精神。全诗语言质朴，想象丰富，气势磅礴，苍凉悲壮。
《龟虽寿》,《龟虽寿》为东汉文学家、政治家曹操创作的一首四言乐府诗，此诗是组诗《步出夏门行》的第四篇。作者自比一匹上了年纪的千里马，虽然形老体衰，屈居枥下，但胸中仍然激荡着驰骋千里的豪情壮志，表现了其老当益壮、积极进取的人生态度，充满了对生活的真切体验，有着一种真挚而浓烈的感情力量。全诗诗情与哲理交融，构思新巧，语言清峻刚健，融哲理思考、慷慨激情和艺术形象于一炉，述理、明志、抒情在具体的艺术形象中实现了完美的结合。
《让县自明本志令》,《述志令》，又名《让县自明本志令》，是曹操对外表达自己思想和经历的一篇带有自传性质的重要文章。这篇令文，首先详尽地叙述了曹操的政治抱负和平生志向与心迹。其次，这篇令文的文笔苍劲有力，气势雄伟飞动，语气严峻而感情浓烈纯厚。全篇作者熟练运用历史事实形象，生动地叙述和详尽地表白自己的政治抱负与远大志向，感情浓厚，直抒胸臆。
《蒿里行》,《蒿里行》是汉末文学家曹操的诗作。此诗是借乐府旧题写时事，内容记述了汉末军阀混战的现实，真实、深刻地揭示了人民的苦难，堪称“汉末实录”的“诗史”。诗人运用民歌的形式，对当时的社会现实进行了批判，不仅对因战乱而陷于水深火热之中的苦难人民表示了极大的悲愤和同情，而且对造成人民疾苦的首恶元凶给予了无情的揭露和鞭挞。全诗风格质朴，沉郁悲壮，体现了一个政治家、军事家的豪迈气魄和忧患意识，诗中集典故、事例、描述于一身，既形象具体，又内蕴深厚，体现了曹操的独特文风。
《孟德新书》,《孟德新书》乃是曹操总结半生军事生涯、在前人基础上总结并创新军事理论的成果。中国历史上有名的兵书，在《孟德新书》之前，有《孙子兵法》、《孙膑兵法》、《阴符》等广为流传。在《孟德新书》之后，除了诸葛亮《将苑》二十四篇之外，整整几百年都没有出现新的名作，直到明戚继光的《纪效新书》才开创了中国近代战争军事理论的新高峰。 《孟德新书》有十四篇，其中十三篇是兵法韬略，而最后一篇是政略。在《唐李问对》中仍有提到“曹公《新书》”，足见孟德新书唐时尚有余本，可能之后才失传。
《七步诗》,《七步诗》是三国时期魏国诗人曹植的一首诗。这首诗用同根而生的萁和豆来比喻同父共母的兄弟，用萁煎其豆来比喻同胞骨肉的哥哥曹丕残害弟弟，表达了对曹丕的强烈不满，生动形象、深入浅出地反映了封建统治集团内部的残酷斗争和诗人自身处境艰难，沉郁愤激的思想感情。
《白马篇》,《白马篇》是中国三国时期曹魏文学家曹植前期的代表作品。此诗以曲折动人的情节描写边塞游侠儿捐躯赴难、奋不顾身的英勇行为，塑造了边疆地区一位武艺高超、渴望卫国立功甚至不惜牺牲生命的游侠少年形象，表达了诗人建功立业的强烈愿望。开头两句以奇警飞动之笔，描绘出驰马奔赴西北战场的英雄身影，显示出军情紧急，扣动读者心弦；接着以“借问”领起，以铺陈的笔墨补叙英雄的来历，说明他是一个什么样的英雄形象；“边城”六句，遥接篇首，具体说明“西北驰”的原因和英勇赴敌的气概。末八句展示英雄捐躯为国、视死如归的崇高精神境界。全诗风格雄放，气氛热烈，语言精美，称得上是情调兼胜，诗中的英雄形象，既是诗人的自我写照，又凝聚和闪耀着时代的光辉。
